image,iou,iou_optimal,gap,runtime
Tp_D_CRN_S_N_cha10159_cha00086_12329.jpg,0.6879,0.6879,0.0,0.755
Tp_D_CRN_S_N_cha10168_cha10166_12300.jpg,0.8963,0.8963,0.0,0.747
Tp_D_CRN_S_N_cha10186_cha00086_12312.jpg,0.6899,0.6899,0.0,0.744
Tp_D_CRN_S_N_cha10188_cha00086_12306.jpg,0.5632,0.5632,0.0,0.74
Tp_D_CRN_S_N_ind00006_art00076_11745.jpg,0.8471,0.8471,0.0,0.748
Tp_D_CRN_S_N_ind00044_sec00007_00453.tif,0.5527,0.5527,0.0,0.746
Tp_D_CRN_S_N_ind00060_ind00062_10700.jpg,0.3757,0.3757,0.0,0.725
Tp_D_CRN_S_N_ind00087_ind00084_11750.jpg,0.8102,0.8102,0.0,0.724
Tp_D_CRN_S_N_ind00089_ind00088_00484.tif,0.8161,0.8161,0.0,0.756
Tp_D_CRN_S_N_ind00100_cha00026_00489.tif,0.5774,0.5774,0.0,0.745
Tp_D_CRN_S_N_nat00004_art00025_11426.jpg,0.5572,0.5572,0.0,0.725
Tp_D_CRN_S_N_nat00033_cha00086_11502.jpg,0.8076,0.8076,0.0,0.723
Tp_D_CRN_S_N_nat00099_ani00017_10220.tif,0.8612,0.8612,0.0,0.719
Tp_D_CRN_S_N_nat00099_nat00061_10074.tif,0.9606,0.9606,0.0,0.724
Tp_D_CRN_S_N_nat00099_nat00061_10075.tif,0.9957,0.9957,0.0,0.828
Tp_D_CRN_S_N_nat10108_sec00097_11696.jpg,0.6516,0.6516,0.0,0.742
Tp_D_CRN_S_N_nat10113_ani00070_11482.jpg,0.3282,0.3282,0.0,0.747
Tp_D_CRN_S_N_nat10128_ani00070_11539.jpg,0.4808,0.4808,0.0,0.729
Tp_D_CRN_S_N_nat10129_ani00100_11644.jpg,0.6493,0.6493,0.0,0.735
Tp_D_CRN_S_N_nat10145_ani00022_11986.jpg,0.7631,0.7631,0.0,0.74
Tp_D_CRN_S_N_nat10145_ani00037_11983.jpg,0.8122,0.8122,0.0,0.731
Tp_D_CRN_S_N_nat10145_ani00099_11990.jpg,0.7571,0.7571,0.0,0.73
Tp_D_CRN_S_N_nat10156_ani00037_12017.jpg,0.5851,0.5851,0.0,0.72
Tp_D_CRN_S_N_nat10159_ani00037_12060.jpg,0.81,0.81,0.0,0.728
Tp_D_CRN_S_N_nat10161_art00021_12084.jpg,0.8135,0.8135,0.0,0.737
Tp_D_CRN_S_N_nat10163_sec00097_12089.jpg,0.5549,0.5549,0.0,0.72
Tp_D_CRN_S_N_pla00006_pla00005_10943.jpg,0.9283,0.9283,0.0,0.737
Tp_D_CRN_S_N_pla00006_pla00007_10942.jpg,0.6675,0.6675,0.0,0.734
Tp_D_CRN_S_N_pla00019_pla00020_10954.jpg,0.9494,0.9494,0.0,0.74
Tp_D_CRN_S_N_pla00023_pla00024_10953.jpg,0.8832,0.8832,0.0,0.739
Tp_D_CRN_S_N_pla00037_ani00013_00572.tif,0.8056,0.8056,0.0,0.747
Tp_D_CRN_S_N_pla00037_pla00038_10064.tif,0.6429,0.6429,0.0,0.723
Tp_D_CRN_S_N_sec00014_cha00086_11402.jpg,0.5161,0.5161,0.0,0.732
Tp_D_CRN_S_N_sec00023_ind00043_10887.jpg,0.8502,0.8502,0.0,0.74
Tp_D_CRN_S_N_sec00040_cha00086_11406.jpg,0.7036,0.7036,0.0,0.739
Tp_D_CRN_S_N_sec00041_sec00034_11251.jpg,0.8546,0.8546,0.0,0.754
Tp_D_CRN_S_N_sec00052_sec00055_11238.jpg,0.5895,0.5895,0.0,0.727
Tp_D_CRN_S_N_sec00054_sec00055_11235.jpg,0.3684,0.3684,0.0,0.731
Tp_D_CRN_S_N_sec00058_art00002_00079.tif,0.8,0.8,0.0,0.732
Tp_D_CRN_S_N_sec00071_art00028_11281.jpg,0.3284,0.3284,0.0,0.728
Tp_D_CRN_S_N_sec00072_cha00026_00093.tif,0.8837,0.8837,0.0,0.764
Tp_D_CRN_S_N_sec00074_pla00084_00095.tif,0.61,0.61,0.0,0.756
Tp_D_CRN_S_N_sec00077_art00039_00098.tif,0.6074,0.6074,0.0,0.731
Tp_D_CRN_S_N_sec00097_txt00070_11317.jpg,0.843,0.843,0.0,0.73
Tp_D_CRN_S_N_txt00039_txt00041_10828.jpg,0.8514,0.8514,0.0,0.735
